"method","V2","V3","V4"
"PC_midp","0.90218960499662","0.763881316911109","0.553578104205433"
"STOREY_RANDOM","0.901368323784907","0.762466521618301","0.553191427068084"
"PC_RANDOM","0.889538389272627","0.752862132964825","0.491406796817343"
"STOREY","1.452","1.132","0.884"
"PC","1.52270730211325","1.20629753516739","0.943555206286429"
"RES_STOREY","0.898730761706845","0.720461500610138","0.566664887391404"
"PC_midp","0.912895053847801","0.735588737935785","0.584853455173111"
"STOREY_RANDOM","0.910993714422743","0.734989116562303","0.582815587293685"
"PC_RANDOM","0.888641650664719","0.700239645452434","0.551394291782137"
"STOREY","1.484","1.152","0.892"
"PC","1.53904535315748","1.21879437155639","0.949095106539349"
"RES_STOREY","0.927758499474388","0.735332281626861","0.571282110045496"
"PC_midp","0.932816062130875","0.748261378946481","0.589893810859912"
"STOREY_RANDOM","0.93322206382316","0.749385569659747","0.591861077580948"
"PC_RANDOM","0.925034048627245","0.717753360803721","0.548293094655622"
"STOREY","1.464","1.112","0.932"
"PC","1.53426111623167","1.19458964925643","0.993236119767626"
"RES_STOREY","0.935083096481001","0.70156027418785","0.612896930396587"
"PC_midp","0.935360955322149","0.731934520062737","0.63081010954656"
"STOREY_RANDOM","0.932767558350145","0.731336967728235","0.631665447869153"
"PC_RANDOM","0.94088781041904","0.702318400011439","0.606599182191644"
"STOREY","1.464","1.168","0.78"
"PC","1.52403307734945","1.23372969787334","0.896289600191131"
"RES_STOREY","0.91787660250163","0.747539518262568","0.481848047558405"
"PC_midp","0.918511777414319","0.762626247844972","0.547281874466173"
"STOREY_RANDOM","0.917005343028933","0.76440357487739","0.548539052397493"
"PC_RANDOM","0.90026103067005","0.726130120831078","0.473824175301807"
"STOREY","1.468","1.1","0.828"
"PC","1.53038087483287","1.18421668416875","0.917607760625999"
"RES_STOREY","0.931576673385177","0.687086030533465","0.522578510192451"
"PC_midp","0.930882074161122","0.71440564558522","0.562568570119991"
"STOREY_RANDOM","0.929350196502105","0.713121303511484","0.563770860336009"
"PC_RANDOM","0.925253600654332","0.670484675439124","0.511618140698971"
"STOREY","1.44","1.12","0.868"
"PC","1.51556336252946","1.20406224279787","0.934414127673122"
"RES_STOREY","0.896841443113557","0.712311366387236","0.549283015825332"
"PC_midp","0.913179213499541","0.736119491237618","0.5784992254877"
"STOREY_RANDOM","0.911590732147463","0.737781236760127","0.576683491185463"
"PC_RANDOM","0.907154520323961","0.704491420022637","0.504528237484632"
"STOREY","1.432","1.152","0.832"
